Leading proteins,Protein,Protein names,Gene names
Q8R5A3,Q8R5A3,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,Apbb1ip
F6V8Y6,F6V8Y6,Amyloid beta A4 precursor protein-binding family B member 2,Apbb2
F6V8Y6,F6V8Y6,Amyloid beta A4 precursor protein-binding family B member 2,Apbb2
F6V8Y6,F6V8Y6,Amyloid beta A4 precursor protein-binding family B member 2,Apbb2
F6V8Y6,F6V8Y6,Amyloid beta A4 precursor protein-binding family B member 2,Apbb2
F6V8Y6,F6V8Y6,Amyloid beta A4 precursor protein-binding family B member 2,Apbb2
F6V8Y6,F6V8Y6,Amyloid beta A4 precursor protein-binding family B member 2,Apbb2
A0A494BAU6,A0A494BAU6,Amyloid beta A4 precursor protein-binding family B member 3,Apbb3
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
E9QLQ9,E9QLQ9,Adenomatous polyposis coli protein,Apc
A0A0R4J107,A0A0R4J107,Acylamino-acid-releasing enzyme,Apeh
D3Z124,D3Z124,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",Apex1
O35841,O35841,Apoptosis inhibitor 5,Api5
Q9D842-2,Q9D842-2,Aprataxin and PNK-like factor,Aplf
Q9D842-2,Q9D842-2,Aprataxin and PNK-like factor,Aplf
Q9D842-2,Q9D842-2,Aprataxin and PNK-like factor,Aplf
Q9WV08,Q9WV08,Apelin receptor,Aplnr
Q9WV08,Q9WV08,Apelin receptor,Aplnr
P06728,P06728,Apolipoprotein A-IV,Apoa4
Q9WV35,Q9WV35,Probable C->U-editing enzyme APOBEC-2,Apobec2
Q3TI69,Q3TI69,DNA dC->dU-editing enzyme APOBEC-3,Apobec3
Q8VBT6,Q8VBT6,Apolipoprotein B receptor,Apobr
Q8VBT6,Q8VBT6,Apolipoprotein B receptor,Apobr
Q8VBT6,Q8VBT6,Apolipoprotein B receptor,Apobr
Q8VBT6,Q8VBT6,Apolipoprotein B receptor,Apobr
P08226,P08226,Apolipoprotein E,Apoe
G3X9D6,G3X9D6,,Apon
G3X9D6,G3X9D6,,Apon
G3X9D6,G3X9D6,,Apon
G3X9D6,G3X9D6,,Apon
B1AV14,B1AV14,MICOS complex subunit Mic27,Apool
A0A2I3BR03,A0A2I3BR03,Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31,App
Q8K3H0,Q8K3H0,DCC-interacting protein 13-alpha,Appl1
Q8K3G9,Q8K3G9,DCC-interacting protein 13-beta,Appl2
P08030,P08030,Adenine phosphoribosyltransferase,Aprt
P08030,P08030,Adenine phosphoribosyltransferase,Aprt
Q02013,Q02013,Aquaporin-1,Aqp1
Q02013,Q02013,Aquaporin-1,Aqp1
A0A0R4J0Z3,A0A0R4J0Z3,Aquaporin-4,Aqp4
D3YYD6,D3YYD6,Aquaporin-9,Aqp9
P19091,P19091,Androgen receptor,Ar
P04627,P04627,Serine/threonine-protein kinase A-Raf,Araf
P04627,P04627,Serine/threonine-protein kinase A-Raf,Araf
P04627,P04627,Serine/threonine-protein kinase A-Raf,Araf
P04627;Q99N57-2,Q99N57-2,Serine/threonine-protein kinase A-Raf;RAF proto-oncogene serine/threonine-protein kinase,Araf;Raf1
P04627;Q99N57-2,Q99N57-2,Serine/threonine-protein kinase A-Raf;RAF proto-oncogene serine/threonine-protein kinase,Araf;Raf1
Q8R5G7,Q8R5G7,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",Arap3
Q8R5G7,Q8R5G7,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",Arap3
Q8R5G7,Q8R5G7,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",Arap3
Q5XJY5,Q5XJY5,Coatomer subunit delta,Arcn1
F6UFB9,F6UFB9,ADP-ribosylation factor 4,Arf4
Q3TGS9,Q3TGS9,ADP-ribosylation factor GTPase-activating protein 1,Arfgap1
Q3TGS9,Q3TGS9,ADP-ribosylation factor GTPase-activating protein 1,Arfgap1
Q3TGS9,Q3TGS9,ADP-ribosylation factor GTPase-activating protein 1,Arfgap1
Q3TGS9,Q3TGS9,ADP-ribosylation factor GTPase-activating protein 1,Arfgap1
Q3TGS9,Q3TGS9,ADP-ribosylation factor GTPase-activating protein 1,Arfgap1
Q99K28,Q99K28,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2
Q99K28,Q99K28,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2
Q99K28,Q99K28,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2
Q99K28,Q99K28,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2
Q99K28,Q99K28,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2
Q99K28,Q99K28,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2
Q99K28,Q99K28,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
Q9D8S3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3
G3X9K3,G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Arfgef1
G3X9K3,G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Arfgef1
G3X9K3,G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Arfgef1
G3X9K3,G3X9K3,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,Arfgef1
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2
A2RSX9,A2RSX9,,Arfip1
A2RSX9,A2RSX9,,Arfip1
A2RSX9,A2RSX9,,Arfip1
Q3UL36,Q3UL36,Arginine and glutamate-rich protein 1,Arglu1
Q3UL36,Q3UL36,Arginine and glutamate-rich protein 1,Arglu1
A2AH25,A2AH25,Rho GTPase-activating protein 1,Arhgap1
A2AH25,A2AH25,Rho GTPase-activating protein 1,Arhgap1
A2AH25,A2AH25,Rho GTPase-activating protein 1,Arhgap1
Q6Y5D8-4,Q6Y5D8-4,Rho GTPase-activating protein 10,Arhgap10
Q6Y5D8-4,Q6Y5D8-4,Rho GTPase-activating protein 10,Arhgap10
Q80Y19,Q80Y19,Rho GTPase-activating protein 11A,Arhgap11a
Q80Y19,Q80Y19,Rho GTPase-activating protein 11A,Arhgap11a
Q80Y19,Q80Y19,Rho GTPase-activating protein 11A,Arhgap11a
Q80Y19,Q80Y19,Rho GTPase-activating protein 11A,Arhgap11a
Q80Y19,Q80Y19,Rho GTPase-activating protein 11A,Arhgap11a
Q80Y19,Q80Y19,Rho GTPase-activating protein 11A,Arhgap11a
S4R248,S4R248,Rho GTPase-activating protein 12,Arhgap12
S4R248,S4R248,Rho GTPase-activating protein 12,Arhgap12
S4R248,S4R248,Rho GTPase-activating protein 12,Arhgap12
S4R248,S4R248,Rho GTPase-activating protein 12,Arhgap12
S4R248,S4R248,Rho GTPase-activating protein 12,Arhgap12
S4R248,S4R248,Rho GTPase-activating protein 12,Arhgap12
B1AW40,B1AW40,Rho GTPase-activating protein 15,Arhgap15
B1AW40,B1AW40,Rho GTPase-activating protein 15,Arhgap15
B1AW40,B1AW40,Rho GTPase-activating protein 15,Arhgap15
B1AW40,B1AW40,Rho GTPase-activating protein 15,Arhgap15
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2-4,Q3UIA2-4,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q3UIA2;Q3UIA2-4,Q3UIA2,Rho GTPase-activating protein 17,Arhgap17
Q8K0Q5,Q8K0Q5,Rho GTPase-activating protein 18,Arhgap18
Q8K0Q5,Q8K0Q5,Rho GTPase-activating protein 18,Arhgap18
Q8K0Q5,Q8K0Q5,Rho GTPase-activating protein 18,Arhgap18
E9Q4T1,E9Q4T1,Rho GTPase-activating protein 19,Arhgap19
E9Q4T1,E9Q4T1,Rho GTPase-activating protein 19,Arhgap19
D3YUH8,D3YUH8,Rho GTPase-activating protein 20,Arhgap20
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
B7ZCJ0,B7ZCJ0,Rho GTPase-activating protein 21,Arhgap21
D3Z1Y5,D3Z1Y5,Rho GTPase-activating protein 22,Arhgap22
D3Z1Y5,D3Z1Y5,Rho GTPase-activating protein 22,Arhgap22
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
F8VQ11,F8VQ11,Rho GTPase-activating protein 23,Arhgap23
D3Z5T4,D3Z5T4,Rho GTPase-activating protein 24,Arhgap24
D3Z5T4,D3Z5T4,Rho GTPase-activating protein 24,Arhgap24
Q8BYW1-2,Q8BYW1-2,Rho GTPase-activating protein 25,Arhgap25
Q8BYW1-2,Q8BYW1-2,Rho GTPase-activating protein 25,Arhgap25
Q8BYW1-2,Q8BYW1-2,Rho GTPase-activating protein 25,Arhgap25
Q8BYW1-2,Q8BYW1-2,Rho GTPase-activating protein 25,Arhgap25
F7D661,F7D661,Rho GTPase-activating protein 26,Arhgap26
A2AB59;A2AB59-2,A2AB59-2,Rho GTPase-activating protein 27,Arhgap27
A2AB59;A2AB59-2,A2AB59-2,Rho GTPase-activating protein 27,Arhgap27
A2AB59;A2AB59-2,A2AB59-2,Rho GTPase-activating protein 27,Arhgap27
A2AB59;A2AB59-2,A2AB59-2,Rho GTPase-activating protein 27,Arhgap27
A2AB59;A2AB59-2,A2AB59-2,Rho GTPase-activating protein 27,Arhgap27
A2AB59;A2AB59-2,A2AB59-2,Rho GTPase-activating protein 27,Arhgap27
A2AB59,A2AB59,Rho GTPase-activating protein 27,Arhgap27
A2AB59-2,A2AB59-2,Rho GTPase-activating protein 27,Arhgap27
Q8CGF1,Q8CGF1,Rho GTPase-activating protein 29,Arhgap29
Q8CGF1,Q8CGF1,Rho GTPase-activating protein 29,Arhgap29
Q8CGF1,Q8CGF1,Rho GTPase-activating protein 29,Arhgap29
Q8CGF1,Q8CGF1,Rho GTPase-activating protein 29,Arhgap29
Q8CGF1,Q8CGF1,Rho GTPase-activating protein 29,Arhgap29
E9QMX7,E9QMX7,Rho GTPase-activating protein 30,Arhgap30
E9QMX7,E9QMX7,Rho GTPase-activating protein 30,Arhgap30
E9QMX7,E9QMX7,Rho GTPase-activating protein 30,Arhgap30
E9QMX7,E9QMX7,Rho GTPase-activating protein 30,Arhgap30
E9QMX7,E9QMX7,Rho GTPase-activating protein 30,Arhgap30
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5,A6X8Z5,Rho GTPase-activating protein 31,Arhgap31
A6X8Z5;E9QMX7,A6X8Z5,Rho GTPase-activating protein 31;Rho GTPase-activating protein 30,Arhgap31;Arhgap30
Q811P8-2,Q811P8-2,Rho GTPase-activating protein 32,Arhgap32
Q811P8-2,Q811P8-2,Rho GTPase-activating protein 32,Arhgap32
Q811P8-2,Q811P8-2,Rho GTPase-activating protein 32,Arhgap32
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
Q91YM2,Q91YM2,Rho GTPase-activating protein 35,Arhgap35
H7BX46,H7BX46,Rho GTPase-activating protein 39,Arhgap39
Q3TE27,Q3TE27,,Arhgap4
Q3TE27,Q3TE27,,Arhgap4
Q3TE27,Q3TE27,,Arhgap4
B2RQE8,B2RQE8,Rho GTPase-activating protein 42,Arhgap42
B2RQE8,B2RQE8,Rho GTPase-activating protein 42,Arhgap42
B2RQE8,B2RQE8,Rho GTPase-activating protein 42,Arhgap42
E9PYT0,E9PYT0,,Arhgap5
E9PYT0,E9PYT0,Rho GTPase-activating protein 5,Arhgap5
E9PYT0,E9PYT0,Rho GTPase-activating protein 5,Arhgap5
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
O54834-4,O54834-4,Rho GTPase-activating protein 6,Arhgap6
Q99PT1,Q99PT1,Rho GDP-dissociation inhibitor 1,Arhgdia
Q99PT1,Q99PT1,Rho GDP-dissociation inhibitor 1,Arhgdia
Q99PT1,Q99PT1,Rho GDP-dissociation inhibitor 1,Arhgdia
E9PUF7,E9PUF7,Rho guanine nucleotide exchange factor 1,Arhgef1
E9PUF7,E9PUF7,Rho guanine nucleotide exchange factor 1,Arhgef1
E9PUF7,E9PUF7,Rho guanine nucleotide exchange factor 1,Arhgef1
E9PUF7,E9PUF7,Rho guanine nucleotide exchange factor 1,Arhgef1
F7BQE4,F7BQE4,Rho guanine nucleotide exchange factor 10,Arhgef10
F7BQE4,F7BQE4,Rho guanine nucleotide exchange factor 10,Arhgef10
F7BQE4,F7BQE4,Rho guanine nucleotide exchange factor 10,Arhgef10
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
E9Q0A3,E9Q0A3,,Arhgef11
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q8R4H2,Q8R4H2,Rho guanine nucleotide exchange factor 12,Arhgef12
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q80U35,Q80U35,Rho guanine nucleotide exchange factor 17,Arhgef17
Q6P9R4,Q6P9R4,Rho guanine nucleotide exchange factor 18,Arhgef18
Q6P9R4,Q6P9R4,Rho guanine nucleotide exchange factor 18,Arhgef18
Q6P9R4,Q6P9R4,Rho guanine nucleotide exchange factor 18,Arhgef18
Q6P9R4,Q6P9R4,Rho guanine nucleotide exchange factor 18,Arhgef18;A430078G23Rik
Q6P9R4,Q6P9R4,Rho guanine nucleotide exchange factor 18,Arhgef18;A430078G23Rik
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
H3BJU7,H3BJU7,Rho guanine nucleotide exchange factor 2,Arhgef2
D3YYY8,D3YYY8,,Arhgef26
D3YYY8,D3YYY8,,Arhgef26
G5E8P2,G5E8P2,Rho guanine nucleotide exchange factor 28,Arhgef28
G5E8P2,G5E8P2,Rho guanine nucleotide exchange factor 28,Arhgef28
G5E8P2,G5E8P2,Rho guanine nucleotide exchange factor 28,Arhgef28
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
S4R189,S4R189,Rho guanine nucleotide exchange factor 40,Arhgef40
E9Q7D5,E9Q7D5,,Arhgef5
E9Q7D5,E9Q7D5,,Arhgef5
E9Q7D5,E9Q7D5,,Arhgef5
E9Q7D5,E9Q7D5,,Arhgef5
E9Q7D5,E9Q7D5,,Arhgef5
F6WMJ3,F6WMJ3,Rho guanine nucleotide exchange factor 6,Arhgef6
F6WMJ3,F6WMJ3,Rho guanine nucleotide exchange factor 6,Arhgef6
F6WMJ3,F6WMJ3,Rho guanine nucleotide exchange factor 6,Arhgef6
F6WMJ3,F6WMJ3,Rho guanine nucleotide exchange factor 6,Arhgef6
